org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
55555.6   80  1.5928  6.570e-03  0.000  0.086    1.60  0.0000  0.000  0.149  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   80  1.5859  3.497e-02  0.000  0.086    1.60  0.0000  0.000  0.149  0.000  0.003  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   80  1.5123  5.546e-02  0.000  0.086    1.60  0.0000  0.000  0.149  0.000  0.004  1.000  0.012  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   80  1.2954  4.958e-02  0.000  0.086    1.60  0.0000  0.000  0.149  0.000  0.005  1.000  0.015  0.500  0.003  0.000  0.000  0.000  0.000
13157.9   80  1.2286  5.628e-02  0.000  0.086    1.60  0.0000  0.000  0.149  0.000  0.007  1.000  0.020  0.500  0.004  0.000  0.000  0.000  0.000
11111.1   80  1.2351  1.422e-02  0.000  0.086    1.60  0.0000  0.000  0.149  0.000  0.009  1.000  0.027  0.500  0.006  0.000  0.000  0.000  0.000
 9708.7   80  1.3374 -5.227e-03  0.000  0.086    1.60  0.0011  0.003  0.149  0.026  0.012  1.000  0.037  0.501  0.008  0.000  0.000  0.000  0.000
 8849.6   80  1.4943 -4.340e-02  0.000  0.086    1.60  0.0095  0.026  0.149  0.011  0.016  1.000  0.048  0.501  0.009  0.000  0.000  0.000  0.000
 7782.1   80  1.2915 -2.957e-03  0.000  0.086    1.60  0.0009  0.003  0.149  0.091  0.019  1.000  0.056  0.501  0.012  0.000  0.000  0.000  0.000
 6968.6   80  1.3270 -4.269e-03  0.000  0.086    1.60  0.0014  0.004  0.149  0.000  0.023  1.000  0.070  0.502  0.015  0.000  0.000  0.000  0.000
 6097.6   80  1.3313  1.730e-02  0.000  0.086    1.60  0.0000  0.000  0.149  0.000  0.031  1.000  0.092  0.504  0.019  0.001  0.000  0.000  0.000
 5154.6   80  1.3451 -1.231e-03  0.000  0.086    1.60  0.0010  0.003  0.149  1.000  0.043  1.000  0.126  0.507  0.026  0.001  0.000  0.000  0.000
 4618.9   80  1.3497  1.125e-03  0.000  0.086    1.60  0.0003  0.001  0.149  1.000  0.052  1.000  0.155  0.511  0.033  0.002  0.000  0.000  0.000
 4319.7   80  1.3570  3.905e-04  0.000  0.086    1.60  0.0008  0.002  0.149  1.000  0.058  1.000  0.176  0.514  0.036  0.002  0.000  0.000  0.000
 4016.1   80  1.3670  1.803e-04  0.000  0.086    1.60  0.0014  0.004  0.149  1.000  0.067  1.000  0.202  0.518  0.042  0.003  0.000  0.000  0.000
 3418.8   80  1.4173  1.878e-03  0.000  0.086    1.60  0.0022  0.006  0.149  1.000  0.092  1.000  0.278  0.532  0.057  0.006  0.001  0.000  0.000
 3444.7   80  1.4135  1.544e-03  0.000  0.086    1.60  0.0023  0.006  0.149  1.000  0.091  1.000  0.273  0.531  0.056  0.006  0.001  0.000  0.000
 2777.0   80  1.3003  4.294e-02  0.000  0.086    1.60  0.0000  0.000  0.149  0.832  0.124  1.000  0.370  0.558  0.086  0.012  0.002  0.000  0.000
